frame,t_ms,frametime_ms,terrain,trees,dwarves,dirty_tiles,mark
# run: build=21c65a0 assets=disk:D:\Workspace\frostvein\assets subdiv=4 vsync=on terrain=1888 trees=259 dwarves=5
495,7564.368,6.575,1888,259,5,0,0
496,7571.811,7.442,1888,259,5,0,0
497,7577.853,6.042,1888,259,5,0,0
498,7585.788,7.935,1888,259,5,0,0
499,7596.413,10.624,1888,259,5,0,0
500,7609.517,13.105,1888,259,5,0,0
501,7622.684,13.167,1888,259,5,0,0
502,7635.756,13.071,1888,259,5,0,0
503,7649.548,13.793,1888,259,5,0,0
504,7663.450,13.902,1888,259,5,0,0
505,7677.548,14.098,1888,259,5,0,0
506,7691.326,13.778,1888,259,5,0,0
507,7705.422,14.096,1888,259,5,0,0
508,7719.475,14.053,1888,259,5,0,0
509,7733.306,13.830,1888,259,5,0,0
510,7748.109,14.804,1888,259,5,0,0
511,7761.186,13.076,1888,259,5,0,0
512,7774.364,13.179,1888,259,5,0,0
513,7788.458,14.094,1888,259,5,0,0
514,7810.730,22.272,1888,259,5,0,0
515,7817.724,6.994,1888,259,5,0,0
516,7831.433,13.709,1888,259,5,0,0
517,7845.072,13.639,1888,259,5,0,0
518,7858.836,13.764,1888,259,5,0,0
519,7873.301,14.465,1888,259,5,0,0
520,7888.312,15.012,1888,259,5,0,0
521,7908.547,20.235,1888,259,5,0,0
522,7915.252,6.705,1888,259,5,0,0
523,7928.584,13.332,1888,259,5,0,0
524,7942.443,13.859,1888,259,5,0,0
525,7964.578,22.135,1888,259,5,0,0
526,7971.409,6.832,1888,259,5,0,0
527,7986.644,15.235,1888,259,5,0,0
528,7999.040,12.396,1888,259,5,0,0
529,8013.018,13.977,1888,259,5,0,0
530,8027.392,14.374,1888,259,5,0,0
531,8041.332,13.941,1888,259,5,0,0
532,8055.200,13.867,1888,259,5,0,0
533,8070.175,14.975,1888,259,5,0,0
534,8084.085,13.910,1888,259,5,0,0
535,8096.849,12.764,1888,259,5,0,0
536,8110.815,13.966,1888,259,5,0,0
537,8124.642,13.827,1888,259,5,0,0
538,8146.119,21.477,1888,259,5,0,0
539,8152.688,6.569,1888,259,5,0,0
540,8167.021,14.332,1888,259,5,0,0
541,8181.243,14.222,1888,259,5,0,0
542,8194.324,13.082,1888,259,5,0,0
543,8208.682,14.358,1888,259,5,0,0
544,8229.272,20.589,1888,259,5,0,0
545,8237.995,8.723,1888,259,5,0,0
546,8257.364,19.369,1888,259,5,0,0
547,8264.497,7.133,1888,259,5,0,0
548,8278.396,13.898,1888,259,5,0,0
549,8293.455,15.060,1888,259,5,0,0
550,8306.483,13.028,1888,259,5,0,0
551,8320.558,14.075,1888,259,5,0,0
552,8341.550,20.991,1888,259,5,0,0
553,8348.772,7.222,1888,259,5,0,0
554,8370.311,21.539,1888,259,5,0,0
555,8377.887,7.576,1888,259,5,0,0
556,8390.684,12.797,1888,259,5,0,0
557,8403.461,12.777,1888,259,5,0,0
558,8425.743,22.281,1888,259,5,0,0
559,8432.594,6.851,1888,259,5,0,0
560,8445.864,13.270,1888,259,5,0,0
561,8460.165,14.301,1888,259,5,0,0
562,8474.308,14.143,1888,259,5,0,0
563,8495.465,21.157,1888,259,5,0,0
564,8502.358,6.893,1888,259,5,0,0
565,8516.362,14.004,1888,259,5,0,0
566,8530.592,14.230,1888,259,5,0,0
567,8543.765,13.173,1888,259,5,0,0
568,8557.980,14.215,1888,259,5,0,0
569,8572.436,14.456,1888,259,5,0,0
570,8586.187,13.751,1888,259,5,0,0
571,8598.404,12.217,1888,259,5,0,0
572,8611.613,13.209,1888,259,5,0,0
573,8625.842,14.229,1888,259,5,0,0
574,8639.703,13.861,1888,259,5,0,0
575,8653.542,13.839,1888,259,5,0,0
576,8667.898,14.356,1888,259,5,0,0
577,8687.606,19.708,1888,259,5,0,0
578,8701.111,13.505,1888,259,5,0,0
579,8708.598,7.487,1888,259,5,0,0
580,8722.239,13.641,1888,259,5,0,0
581,8735.232,12.992,1888,259,5,0,0
582,8755.953,20.721,1888,259,5,0,0
583,8763.360,7.407,1888,259,5,0,0
584,8775.703,12.343,1888,259,5,0,0
585,8789.123,13.420,1888,259,5,0,0
586,8804.567,15.444,1888,259,5,0,0
587,8816.948,12.381,1888,259,5,0,0
588,8830.908,13.960,1888,259,5,0,0
589,8846.770,15.862,1888,259,5,0,0
590,8858.963,12.193,1888,259,5,0,0
591,8871.502,12.540,1888,259,5,0,0
592,8886.225,14.723,1888,259,5,0,0
593,8899.192,12.967,1888,259,5,0,0
594,8913.324,14.132,1888,259,5,0,0
595,8926.941,13.617,1888,259,5,0,0
596,8941.745,14.804,1888,259,5,0,0
597,8962.058,20.313,1888,259,5,0,0
598,8969.344,7.286,1888,259,5,0,0
599,8981.903,12.559,1888,259,5,0,0
600,8996.059,14.156,1888,259,5,0,0
601,9010.573,14.514,1888,259,5,0,0
602,9023.602,13.029,1888,259,5,0,0
603,9038.111,14.509,1888,259,5,0,0
604,9051.433,13.322,1888,259,5,0,0
605,9064.868,13.435,1888,259,5,0,0
606,9078.913,14.045,1888,259,5,0,0
607,9092.767,13.854,1888,259,5,0,0
608,9106.425,13.658,1888,259,5,0,0
609,9120.601,14.176,1888,259,5,0,0
610,9134.470,13.869,1888,259,5,0,0
611,9147.539,13.069,1888,259,5,0,0
612,9161.562,14.023,1888,259,5,0,0
613,9174.053,12.491,1888,259,5,0,0
614,9188.488,14.435,1888,259,5,0,0
615,9209.164,20.676,1888,259,5,0,0
616,9217.934,8.770,1888,259,5,0,0
